smell,measure,family,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,capped
dead_code,cognitive,structural,0.0,-0.27718585822512665,0.27718585822512665,0.11,-0.012057044295460478,0.23205704429546048,False
dead_code,maintainability,structural,0.0358,-0.24140806061613718,0.3130080606161372,-0.019,-0.1409885029746234,0.10298850297462339,False
dead_code,halstead_volume,structural,0.0,-0.27718585822512665,0.27718585822512665,0.012,-0.10998723559900693,0.13398723559900694,False
dead_code,halstead_difficulty,structural,0.0,-0.27718585822512665,0.27718585822512665,-0.039,-0.16099527766244184,0.08299527766244186,False
dead_code,halstead_effort,structural,0.0,-0.27718585822512665,0.27718585822512665,0.017,-0.10498808246435774,0.13898808246435773,False
dead_code,comment_density,structural,-0.0,-0.27718585822512665,0.27718585822512665,-0.286,-0.4084631932125632,-0.16353680678743676,False
dead_code,api_calls,structural,-0.0,-0.27718585822512665,0.27718585822512665,0.312,0.18944638545352843,0.43455361454647157,False
dead_code,perplexity,fluency,0.2131,-0.06487146094957302,0.49107146094957305,0.301,0.1784855920161727,0.4235144079838273,False
dead_code,bleu,similarity,1.7853,1.4575153273132497,2.1130846726867505,,,,False
dead_code,chrf,similarity,1.6073,1.2884848478551247,1.9261151521448752,,,,False
dead_code,rouge_l,similarity,2.379,2.0168022747669445,2.7411977252330555,,,,False
dead_code,codebleu,similarity,1.7333,1.4082068215733219,2.0583931784266785,,,,False
dead_code,ast_similarity,similarity,1.8887,1.5553964287998703,2.22200357120013,,,,False
dead_code,codebert_score,similarity,3.2103,2.7910016878541484,3.629598312145852,,,,False
dead_code,bertscore,similarity,3.8773,3.406966815326454,4.347633184673546,,,,False
